id,title,url,upload_date,duration,view_count
d7zEuDuVkbs,[맹모닝 상담소] 사람의 출생이 과연 축복일까요?,https://www.youtube.com/watch?v=d7zEuDuVkbs,,1120.0,12523
4DEAd6aSHBk,[요한 묵상집]제80화 요한복음 10장 22절~31절,https://www.youtube.com/watch?v=4DEAd6aSHBk,,451.0,1104
G9zuprv2z9Y,[맹모닝 상담소] 어려운 경제상황을 어떻게 극복해야 할까요?,https://www.youtube.com/watch?v=G9zuprv2z9Y,,1254.0,17478
ruogV-GgiP0,[맹모닝 상담소] 불편한 신앙영상에 불안해진 나의 마음,https://www.youtube.com/watch?v=ruogV-GgiP0,,1020.0,16527
rFopT7QW3jg,[맹모닝 상담소] 교중미사 지휘자에 대한 일방적 정리해고?,https://www.youtube.com/watch?v=rFopT7QW3jg,,1497.0,32800
pVYEz1devCk,[요한 묵상집]제79화 요한복음 10장 14절~21절,https://www.youtube.com/watch?v=pVYEz1devCk,,411.0,993
0GWgoLMz0RM,[맹모닝 상담소] 정치에 대한 분노 그리고 적개심,https://www.youtube.com/watch?v=0GWgoLMz0RM,,1074.0,20110
7Nhwzg8OQYU,[요한 묵상집]제78화 요한복음 10장 7절~13절,https://www.youtube.com/watch?v=7Nhwzg8OQYU,,693.0,1000
BfSkI4Eeao8,[맹모닝 상담소] 유튜브를 통한 건강하고 밝은 신앙생활하기,https://www.youtube.com/watch?v=BfSkI4Eeao8,,1020.0,13473
n3Tk9wWYPQY,[요한 묵상집]제77화 요한복음 10장 1절~6절,https://www.youtube.com/watch?v=n3Tk9wWYPQY,,546.0,1001
FL_Kxl0soP4,[맹모닝 상담소] 화가나면 뭐든 집어 던지는 남편(남의편),https://www.youtube.com/watch?v=FL_Kxl0soP4,,1160.0,16224
Q81ySqfEtuU,[요한 묵상집]제76화 요한복음 9장 35절~41절,https://www.youtube.com/watch?v=Q81ySqfEtuU,,504.0,1149
nNkYbIoL29A,[맹모닝 상담소] 결혼을 앞두고 개종한다는 아들,https://www.youtube.com/watch?v=nNkYbIoL29A,,1055.0,17803
tfuIJwJvQKo,[요한 묵상집]제75화 요한복음 9장 24절~34절,https://www.youtube.com/watch?v=tfuIJwJvQKo,,504.0,1065
Wo6HWlkY8Pw,[요한 묵상집]제74화 요한복음 9장 13절~23절,https://www.youtube.com/watch?v=Wo6HWlkY8Pw,,484.0,1108
ijoCmpFfL84,[요한 묵상집]제73화 요한복음 9장 6절~12절,https://www.youtube.com/watch?v=ijoCmpFfL84,,534.0,1143
3xZmzECjwcQ,"[맹모닝 상담소] 바티칸 시노드의 눈물 ""이태석 신부님 편2""",https://www.youtube.com/watch?v=3xZmzECjwcQ,,2939.0,22376
eQ5bwMTC2Fw,[요한 묵상집]제72화 요한복음 9장 1절~5절,https://www.youtube.com/watch?v=eQ5bwMTC2Fw,,495.0,1099
y2C1GbSG0-U,"[맹모닝 상담소] 바티칸 시노드의 눈물 ""이태석 신부님 편1""",https://www.youtube.com/watch?v=y2C1GbSG0-U,,2101.0,28184
8WNF-SkNsCQ,[요한 묵상집]제71화 요한복음 8장 52절~59절,https://www.youtube.com/watch?v=8WNF-SkNsCQ,,462.0,1089
2HnlPujvPwo,[맹모닝 상담소] 두 딸의 신앙생활이 고민인 어머니,https://www.youtube.com/watch?v=2HnlPujvPwo,,931.0,11957
mCdS0IHmjHQ,[요한 묵상집]제70화 요한복음 8장 48절~51절,https://www.youtube.com/watch?v=mCdS0IHmjHQ,,440.0,1306
NMzr0S6vPlo,[맹모닝 상담소] 동성애 교우의 고민,https://www.youtube.com/watch?v=NMzr0S6vPlo,,981.0,15101
FgSwCPgaPTA,[요한 묵상집]제69화 요한복음 8장 44절~47절,https://www.youtube.com/watch?v=FgSwCPgaPTA,,455.0,1246
VPRTK5_CMjw,[241109] 홍성남신부님 인생이야기,https://www.youtube.com/watch?v=VPRTK5_CMjw,,3807.0,202769
Mgqbf7VfqHA,[맹모닝 상담소] 학사님에 대한 애정? 사랑?,https://www.youtube.com/watch?v=Mgqbf7VfqHA,,1376.0,16884
HAsb1LGo86M,[요한 묵상집]제68화 요한복음 8장  37절~43절,https://www.youtube.com/watch?v=HAsb1LGo86M,,533.0,1191
Iu2k-_p3OEU,[맹모닝 상담소] 아픈 아들이 걱정인 자매님의 사연,https://www.youtube.com/watch?v=Iu2k-_p3OEU,,1104.0,14473
xwjD3anS134,[요한 묵상집]제67화 요한복음 8장 31절~35절,https://www.youtube.com/watch?v=xwjD3anS134,,558.0,1341
gs99qCMc_DA,[요한 묵상집]제66화 요한복음 8장 25절~30절,https://www.youtube.com/watch?v=gs99qCMc_DA,,474.0,1045
voVg_65BLzk,[241012] 미움에 대해서,https://www.youtube.com/watch?v=voVg_65BLzk,,3900.0,227086
DFuE4k477g4,[요한 묵상집]제65화 요한복음 8장 21절~24절,https://www.youtube.com/watch?v=DFuE4k477g4,,414.0,838
bnlK8RDYzU4,[요한 묵상집]제64화 요한복음 8장 12절~20절,https://www.youtube.com/watch?v=bnlK8RDYzU4,,559.0,1120
mJfefSPfbj0,[요한 묵상집]제63화 요한복음 8장 1절~11절,https://www.youtube.com/watch?v=mJfefSPfbj0,,594.0,1314
BKiqJPxZkKM,[요한 묵상집]제62화 요한복음 7장 45절~52절,https://www.youtube.com/watch?v=BKiqJPxZkKM,,414.0,1148
mnDibBxaUiU,"[맹모닝 상담소] 불편한 본당 신부님, 그리고 본당활동",https://www.youtube.com/watch?v=mnDibBxaUiU,,1215.0,27378
p-8Ql3xd3Bs,[요한 묵상집]제61화 요한복음 7장 40절~44절,https://www.youtube.com/watch?v=p-8Ql3xd3Bs,,429.0,1174
ILmhhrvnR3M,[맹모닝 상담소]깊은 신앙심속에서 망설여지는 봉사활동,https://www.youtube.com/watch?v=ILmhhrvnR3M,,1006.0,17306
SNmpElx3Thg,[요한 묵상집]제60화 요한복음 7장 37절~39절,https://www.youtube.com/watch?v=SNmpElx3Thg,,392.0,958
-en-2WufOBg,[맹모닝 상담소] 극단적 삶을 선택한 아들 그리고 남겨진 엄마,https://www.youtube.com/watch?v=-en-2WufOBg,,1064.0,15477
CG3VFPfAI8M,[요한 묵상집]제59화 요한복음 7장 32절~36절,https://www.youtube.com/watch?v=CG3VFPfAI8M,,438.0,1273
rQOShOiuLLo,[맹모닝 상담소] 고해성사 중 상담에 대한 답을 드려야 할까요?,https://www.youtube.com/watch?v=rQOShOiuLLo,,1010.0,12826
d3EMY6mDPjQ,[요한 묵상집]제58화 요한복음 7장 25절~31절,https://www.youtube.com/watch?v=d3EMY6mDPjQ,,426.0,1086
sMpKkwslyUo,"[맹모닝 상담소] 인간의 욕구, 과연 마귀의 유혹일까?",https://www.youtube.com/watch?v=sMpKkwslyUo,,1045.0,23625
cFHaRHzOkTY,[요한 묵상집]제57화 요한복음 7장 19절~24절,https://www.youtube.com/watch?v=cFHaRHzOkTY,,464.0,1121
1xsdjxAtX5w,[맹모닝 상담소] 티끌만한 죄도 용서하지 않으시는 하느님?,https://www.youtube.com/watch?v=1xsdjxAtX5w,,781.0,9323
YToJANayK3I,[요한 묵상집]제56화 요한복음 7장 18절,https://www.youtube.com/watch?v=YToJANayK3I,,418.0,838
ice7dYziKI8,[맹모닝 상담소] 식어버린 신앙 생활이 걱정됩니다,https://www.youtube.com/watch?v=ice7dYziKI8,,819.0,20177
615HX0BLGJc,[요한 묵상집]제55화 요한복음 7장 14절~17절,https://www.youtube.com/watch?v=615HX0BLGJc,,508.0,1339
7PS2pldVhWY,[맹모닝 상담소] 본당 신부님을 보고서 이성적 마음이 생긴다면?,https://www.youtube.com/watch?v=7PS2pldVhWY,,868.0,22462
aeQfilqrfDc,[요한 묵상집]제54화 요한복음 7장 10절~13절,https://www.youtube.com/watch?v=aeQfilqrfDc,,446.0,1056
bPw789iC-90,[요한 묵상집]제53화 요한복음 7장 1절~9절,https://www.youtube.com/watch?v=bPw789iC-90,,444.0,975
IqTEvc4Uvr4,[240720] 다양한 방어기제에 대해서,https://www.youtube.com/watch?v=IqTEvc4Uvr4,,5210.0,56422
cvZQV3h3Iok,[요한 묵상집]제52화 요한복음 6장 70절~71절,https://www.youtube.com/watch?v=cvZQV3h3Iok,,407.0,936
6Bx_bGwV7n0,[요한 묵상집]제51화 요한복음 6장  64절~69절,https://www.youtube.com/watch?v=6Bx_bGwV7n0,,7078.0,1510
knieXSLPHew,[요한 묵상집]제50화 요한복음 6장  60절~63절,https://www.youtube.com/watch?v=knieXSLPHew,,450.0,1053
Rier8BhYrEM,[요한 묵상집]제49화 요한복음 6장 52절~59절,https://www.youtube.com/watch?v=Rier8BhYrEM,,506.0,1168
9m_RvDOkd94,[요한 묵상집]제48화 요한복음 6장 47절~51절,https://www.youtube.com/watch?v=9m_RvDOkd94,,439.0,1060
WJkq0p3HLqk,사이비공동체,https://www.youtube.com/watch?v=WJkq0p3HLqk,,176.0,2051
5d5FOIT2a1k,민감함의 중요함,https://www.youtube.com/watch?v=5d5FOIT2a1k,,112.0,2418
SLwHEYAwlmk,[맹모닝 상담소] 타인의 불행을 보는 시각 & 정치적 갈등,https://www.youtube.com/watch?v=SLwHEYAwlmk,,1059.0,11583
ZrGknwcRKt8,[요한 묵상집]제47화 요한복음 6장 41절~46절,https://www.youtube.com/watch?v=ZrGknwcRKt8,,474.0,1014
rg8ZNNSbhYs,"[240608] 방어기제, 고착에 대해서",https://www.youtube.com/watch?v=rg8ZNNSbhYs,,5024.0,65965
SwJYklARAz0,[요한 묵상집]제46화 요한복음 6장 36절~40절,https://www.youtube.com/watch?v=SwJYklARAz0,,497.0,978
MsFT5rfp9xk,2024년 6월 4일,https://www.youtube.com/watch?v=MsFT5rfp9xk,,168.0,3801
b14idl-HeGk,[맹모닝 상담소] 모친상 이후 겪고 있는 심리적 불안감,https://www.youtube.com/watch?v=b14idl-HeGk,,828.0,8377
tfmDa8hSGHk,사이비공동체 6,https://www.youtube.com/watch?v=tfmDa8hSGHk,,218.0,1859
x2OUbDAnGlA,사이비종교 5,https://www.youtube.com/watch?v=x2OUbDAnGlA,,118.0,1536
DLtIltf9eCU,[요한 묵상집]제45화 요한복음 6장 30절~35절,https://www.youtube.com/watch?v=DLtIltf9eCU,,554.0,1034
EAWVxhtp0rg,[맹모닝 상담소] 며느리와의 갈등,https://www.youtube.com/watch?v=EAWVxhtp0rg,,1342.0,14874
s0gkUTUexvI,사이비종교 4,https://www.youtube.com/watch?v=s0gkUTUexvI,,177.0,2181
pkuLbv4g5jc,[요한 묵상집]제44화 요한복음 6장 28절~29절,https://www.youtube.com/watch?v=pkuLbv4g5jc,,441.0,907
YHfjVyzix3I,[맹모닝 상담소]  자모회 회원들의 과도한 언행,https://www.youtube.com/watch?v=YHfjVyzix3I,,1139.0,19398
